date,energy
2019-12-13,424.761
2019-12-14,235.953
2019-12-15,297.257
2019-12-16,248.587
2019-12-17,398.243
2019-12-18,313.274
2019-12-19,308.671
2019-12-20,178.34799999999998
2019-12-21,226.274
2019-12-22,242.436
2019-12-23,157.564
2019-12-24,82.009
2019-12-25,50.946
2019-12-26,190.628
2019-12-27,153.816
2019-12-28,87.876
2019-12-29,187.327
2019-12-30,197.654
2019-12-31,141.203
2020-01-01,119.504
2020-01-02,299.367
2020-01-03,293.79
2020-01-04,188.999
2020-01-05,139.024
2020-01-06,264.382
2020-01-07,234.582
2020-01-08,202.871
2020-01-09,396.029
2020-01-10,309.207
2020-01-11,327.353
2020-01-12,161.964
2020-01-13,260.84
2020-01-14,379.27
2020-01-15,146.276
2020-01-16,325.462
2020-01-17,232.419
2020-01-18,202.53
2020-01-19,187.35399999999998
2020-01-20,173.287
2020-01-21,257.289
2020-01-22,332.577
2020-01-23,376.637
2020-01-24,230.86599999999999
2020-01-25,210.855
2020-01-26,288.993
2020-01-27,332.117
2020-01-28,353.5
2020-01-29,224.998
2020-01-30,311.629
2020-01-31,211.414
2020-02-01,243.6
2020-02-02,94.342
2020-02-03,159.309
2020-02-04,212.417
2020-02-05,248.966
2020-02-06,286.116
2020-02-07,199.154
2020-02-08,89.67399999999999
2020-02-09,81.156
2020-02-10,232.952
2020-02-11,298.501
2020-02-12,238.69400000000002
2020-02-13,235.962
2020-02-14,256.449
2020-02-15,207.516
2020-02-16,143.19
2020-02-17,153.401
2020-02-18,206.977
2020-02-19,402.746
2020-02-20,186.305
2020-02-21,185.524
2020-02-22,135.804
2020-02-23,135.216
2020-02-24,204.174
2020-02-25,282.037
2020-02-26,208.375
2020-02-27,215.595
2020-02-28,152.73
2020-02-29,139.36
2020-03-01,109.798
2020-03-02,186.142
2020-03-03,223.94
2020-03-04,166.688
2020-03-05,217.043
2020-03-06,206.026
2020-03-07,179.008
2020-03-08,140.64
2020-03-09,247.636
2020-03-10,201.155
2020-03-11,156.399
2020-03-12,171.755
2020-03-13,108.87
2020-03-14,68.47800000000001
2020-03-15,105.942
2020-03-16,48.885000000000005
2020-03-17,30.096
2020-03-18,38.175
2020-03-19,28.955
2020-03-20,19.735
2020-03-21,10.515
2020-03-22,38.023
2020-03-23,40.682
2020-03-24,56.817
2020-03-25,23.544
2020-03-26,35.837
2020-03-27,65.98
2020-03-28,12.173
2020-03-29,3.43
2020-03-30,35.845
2020-03-31,40.429
2020-04-01,41.132
2020-04-02,0.0
2020-04-03,21.881
2020-04-04,16.273
2020-04-05,44.454
2020-04-06,32.18
